election_period,meeting,sitting,agenda,filename
ps2013,42,8,67,samples/sample_audio_statistics_output/2016/03/11/2016031111581212.txt
ps2013,42,4,163,samples/sample_audio_statistics_output/2016/03/04/2016030409180932.txt
ps2013,42,6,51,samples/sample_audio_statistics_output/2016/03/09/2016030916281642.txt
ps2013,42,3,146,samples/sample_audio_statistics_output/2016/03/03/2016030312281242.txt
ps2013,42,10,154,samples/sample_audio_statistics_output/2016/03/23/2016032310381052.txt
ps2013,42,1,0,samples/sample_audio_statistics_output/2016/03/01/2016030114381452.txt
ps2017,2,1,2,samples/sample_audio_statistics_output/2017/11/28/2017112815081522.txt
ps2013,42,5,0,samples/sample_audio_statistics_output/2016/03/08/2016030814281442.txt
ps2013,42,3,224,samples/sample_audio_statistics_output/2016/03/03/2016030314581512.txt
ps2017,2,1,8,samples/sample_audio_statistics_output/2017/11/28/2017112818181832.txt
ps2013,42,2,61,samples/sample_audio_statistics_output/2016/03/02/2016030216281642.txt
ps2013,42,10,154,samples/sample_audio_statistics_output/2016/03/23/2016032310481102.txt
ps2013,42,7,133,samples/sample_audio_statistics_output/2016/03/10/2016031009280942.txt
ps2013,42,2,157,samples/sample_audio_statistics_output/2016/03/02/2016030212481302.txt
ps2017,2,1,8,samples/sample_audio_statistics_output/2017/11/28/2017112817481802.txt
ps2013,42,2,161,samples/sample_audio_statistics_output/2016/03/02/2016030211381152.txt
ps2013,42,7,206,samples/sample_audio_statistics_output/2016/03/10/2016031010281042.txt
ps2017,2,1,8,samples/sample_audio_statistics_output/2017/11/28/2017112818081822.txt
ps2013,42,7,145,samples/sample_audio_statistics_output/2016/03/10/2016031009180932.txt
ps2013,42,3,224,samples/sample_audio_statistics_output/2016/03/03/2016030315481602.txt
ps2013,42,7,136,samples/sample_audio_statistics_output/2016/03/10/2016031009581012.txt
ps2013,42,8,18,samples/sample_audio_statistics_output/2016/03/11/2016031110481102.txt
ps2013,42,6,160,samples/sample_audio_statistics_output/2016/03/09/2016030912281242.txt
ps2013,42,3,223,samples/sample_audio_statistics_output/2016/03/03/2016030310581112.txt
ps2013,42,7,224,samples/sample_audio_statistics_output/2016/03/10/2016031014481502.txt
ps2013,42,2,151,samples/sample_audio_statistics_output/2016/03/02/2016030210581112.txt
ps2013,42,3,0,samples/sample_audio_statistics_output/2016/03/03/2016030308580912.txt
ps2013,42,8,67,samples/sample_audio_statistics_output/2016/03/11/2016031111181132.txt
ps2013,42,6,158,samples/sample_audio_statistics_output/2016/03/09/2016030910181032.txt
ps2013,42,10,52,samples/sample_audio_statistics_output/2016/03/23/2016032313081322.txt
ps2013,42,1,5,samples/sample_audio_statistics_output/2016/03/01/2016030116081622.txt
ps2013,42,5,15,samples/sample_audio_statistics_output/2016/03/08/2016030816281642.txt
ps2017,2,1,17,samples/sample_audio_statistics_output/2017/11/28/2017112819281942.txt
ps2013,42,7,224,samples/sample_audio_statistics_output/2016/03/10/2016031014381452.txt
ps2013,42,7,224,samples/sample_audio_statistics_output/2016/03/10/2016031016181632.txt
