id	type	name_cs	name_en	name_short	to	from	
HelenaLangsadlova.1963	politicalParty	TOP 09	TOP 09	TOP09	2013-10-26	2017-10-26
HelenaLangsadlova.1963	politicalGroup	Poslanecký klub TOP 09 a Starostové	Political group TOP 09 a Starostové	TOP09-S	2010-06-10T00:00:00	2013-08-28T00:00:00
HelenaLangsadlova.1963	politicalParty	TOP 09	TOP 09	TOP09	2010-05-29	2013-08-28
HelenaValkova.1951	politicalGroup	Poslanecký klub ANO 2011	Political group ANO 2011	ANO	2017-10-24T00:00:00	
HelenaValkova.1951	politicalParty	ANO2011	ANO2011	ANO2011	2017-10-21	
HelenaValkova.1951	politicalGroup	Poslanecký klub ANO 2011	Political group ANO 2011	ANO	2013-10-30T00:00:00	2014-10-01T00:00:00
HelenaValkova.1951	politicalGroup	Poslanecký klub ANO 2011	Political group ANO 2011	ANO	2013-10-30T00:00:00	2017-10-26T23:00:00
HelenaValkova.1951	politicalParty	ANO2011	ANO2011	ANO2011	2013-10-26	2017-10-26
HerbertPavera.1958	politicalGroup	Poslanecký klub TOP 09 a Starostové	Political group TOP 09 a Starostové	TOP09-S	2013-10-31T00:00:00	2017-10-26T23:00:00
HerbertPavera.1958	politicalParty	TOP 09	TOP 09	TOP09	2013-10-26	2017-10-26
IgorJakubcik.1967	politicalGroup	Poslanecký klub České strany sociálně demokratické	Political group Czech Social Democratic Party	ČSSD	2013-10-29T00:00:00	2017-10-26T23:00:00
IgorJakubcik.1967	politicalParty	Česká strana sociálně demokratická	Czech Social Democratic Party	CSSD	2013-10-26	2017-10-26
IgorJakubcik.1967	politicalGroup	Poslanecký klub České strany sociálně demokratické	Political group Czech Social Democratic Party	ČSSD	2013-01-31T00:00:00	2013-08-28T00:00:00
IgorJakubcik.1967	politicalParty	Česká strana sociálně demokratická	Czech Social Democratic Party	CSSD	2010-05-29	2013-08-28
IgorNykl.1963	politicalGroup	Poslanecký klub ANO 2011	Political group ANO 2011	ANO	2013-10-30T00:00:00	2017-10-26T23:00:00
IgorNykl.1963	politicalParty	ANO2011	ANO2011	ANO2011	2013-10-26	2017-10-26
IlonaMauritzova.1959	politicalGroup	Poslanecký klub Občanské demokratické strany	Political group Civic Democratic Party	ODS	2017-10-24T00:00:00	2021-03-01T00:00:00
IlonaMauritzova.1959	politicalParty	Občanská demokratická strana	Civic Democratic Party	ODS	2017-10-21	
IrenaBlazkova.1969	politicalGroup	Poslanecký klub ANO 2011	Political group ANO 2011	ANO	2020-07-31T00:00:00	
IrenaBlazkova.1969	politicalParty	ANO2011	ANO2011	ANO2011	2017-10-21	
IvaKalatova.1962	politicalGroup	Poslanecký klub ANO 2011	Political group ANO 2011	ANO	2019-04-15T00:00:00	
IvaKalatova.1962	politicalParty	ANO2011	ANO2011	ANO2011	2017-10-21	
IvanAdamec.1960	politicalGroup	Poslanecký klub Občanské demokratické strany	Political group Civic Democratic Party	ODS	2017-10-24T00:00:00	
IvanAdamec.1960	politicalGroup	Poslanecký klub Občanské demokratické strany	Political group Civic Democratic Party	ODS	2017-10-24T00:00:00	
IvanAdamec.1960	politicalParty	Občanská demokratická strana	Civic Democratic Party	ODS	2017-10-21	
IvanAdamec.1960	politicalGroup	Poslanecký klub Občanské demokratické strany	Political Group of the Civic Democratic Party	ODS	2014-12-09T00:00:00	2017-10-26T23:00:00
IvanAdamec.1960	politicalGroup	Poslanecký klub Občanské demokratické strany	Political Group of the Civic Democratic Party	ODS	2013-11-06T00:00:00	2017-10-26T23:00:00
