id	surname	forename	sex	birth	picture	
JosefKott.1970	Kott	Josef	M	1970-11-15	https://www.psp.cz/eknih/cdrom/2017ps/eknih/2017ps/poslanci/i6246.jpg
JosefNekl.1953	Nekl	Josef	M	1953-05-28	https://www.psp.cz/eknih/cdrom/2013ps/eknih/2013ps/poslanci/i5948.jpg
JosefNovotny.1952	Novotný	Josef	M	1952-12-14	https://www.psp.cz/eknih/cdrom/2013ps/eknih/2013ps/poslanci/i5991.jpg
JosefSenfeld.1961	Šenfeld	Josef	M	1961-11-13	https://www.psp.cz/eknih/cdrom/2013ps/eknih/2013ps/poslanci/i5282.jpg
JosefTaborsky	Táborský	Josef	M		
JosefUhlik.1963	Uhlík	Josef	M	1963-02-27	https://www.psp.cz/eknih/cdrom/2013ps/eknih/2013ps/poslanci/i6170.jpg
JosefVondrasek.1950	Vondrášek	Josef	M	1950-07-25	https://www.psp.cz/eknih/cdrom/2013ps/eknih/2013ps/poslanci/i6164.jpg
JosefVozdecky.1945	Vozdecký	Josef	M	1945-01-22	https://www.psp.cz/eknih/cdrom/2013ps/eknih/2013ps/poslanci/i6163.jpg
JosefZahradnicek.1957	Zahradníček	Josef	M	1957-03-18	https://www.psp.cz/eknih/cdrom/2013ps/eknih/2013ps/poslanci/i6159.jpg
JuliusSpicak.1952	Špičák	Julius	M	1952-06-10	https://www.psp.cz/eknih/cdrom/2017ps/eknih/2017ps/poslanci/i6505.jpg
KamalFarhan.1969	Farhan	Kamal	M	1969-01-29	https://www.psp.cz/eknih/cdrom/2017ps/eknih/2017ps/poslanci/i6447.jpg
KarelCerny.1965	Černý	Karel	M	1965-01-12	https://www.psp.cz/eknih/cdrom/2013ps/eknih/2013ps/poslanci/i354.jpg
KarelFiedler.1961	Fiedler	Karel	M	1961-12-31	https://www.psp.cz/eknih/cdrom/2013ps/eknih/2013ps/poslanci/i6191.jpg
KarelHavlicek.1969	Havlíček	Karel	M	1969-08-16	
KarelKorytar	Korytář	Karel	M		
KarelKratochvile.1958	Kratochvíle	Karel	M	1958-04-27	https://www.psp.cz/eknih/cdrom/2006ps/eknih/2006ps/poslanci/i5385.jpg
KarelKrejza.1968	Krejza	Karel	M	1968-02-12	https://www.psp.cz/eknih/cdrom/2017ps/eknih/2017ps/poslanci/i6510.jpg
KarelPrazak.1945	Pražák	Karel	M	1945-01-11	https://www.psp.cz/eknih/cdrom/2013ps/eknih/2013ps/poslanci/i6234.jpg
KarelRais.1949	Rais	Karel	M	1949-10-14	https://www.psp.cz/eknih/cdrom/2017ps/eknih/2017ps/poslanci/i6158.jpg
KarelSchwarzenberg.1937	Schwarzenberg	Karel	M	1937-12-10	https://www.psp.cz/eknih/cdrom/2017ps/eknih/2017ps/poslanci/i5558.jpg
KarelSidlo.1957	Šidlo	Karel	M	1957-11-01	https://www.psp.cz/eknih/cdrom/2013ps/eknih/2013ps/poslanci/i5506.jpg
KarelTurecek.1971	Tureček	Karel	M	1971-02-01	https://www.psp.cz/eknih/cdrom/2017ps/eknih/2017ps/poslanci/i6240.jpg
KarlaMarikova.1981	Maříková	Karla	F	1981-03-19	https://www.psp.cz/eknih/cdrom/2017ps/eknih/2017ps/poslanci/i6469.jpg
KarlaSlechtova.1977	Šlechtová	Karla	F	1977-05-22	https://www.psp.cz/eknih/cdrom/2017ps/eknih/2017ps/poslanci/i6287.jpg
KaterinaKonecna.1981	Konečná	Kateřina	F	1981-01-20	https://www.psp.cz/eknih/cdrom/2013ps/eknih/2013ps/poslanci/i5321.jpg
KaterinaValachova.1976	Valachová	Kateřina	F	1976-09-15	https://www.psp.cz/eknih/cdrom/2017ps/eknih/2017ps/poslanci/i6337.jpg
KlaraDostalova.1971	Dostálová	Klára	F	1971-03-13	https://www.psp.cz/eknih/cdrom/2017ps/eknih/2017ps/poslanci/i6430.jpg
KordovaMarvanova	Marvanová	Kordová			
KristynaZelienkova.1974	Zelienková	Kristýna	F	1974-08-06	https://www.psp.cz/eknih/cdrom/2013ps/eknih/2013ps/poslanci/i6156.jpg
KvetaMatusovska.1984	Matušovská	Květa	F	1984-06-04	https://www.psp.cz/eknih/cdrom/2017ps/eknih/2017ps/poslanci/i5938.jpg
LadislavKos	Kos	Ladislav	M		
